customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST07000,Male,0,No,No,27,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,71.53,1857.83,Yes
CUST07001,Female,1,No,No,21,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),66.48,1326.49,Yes
CUST07002,Male,0,No,No,16,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),76.68,1183.35,No
CUST07003,Male,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.0,176.67,No
CUST07004,Male,0,Yes,No,22,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),89.02,1933.08,No
CUST07005,Female,1,Yes,No,10,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),71.11,704.51,No
CUST07006,Male,0,Yes,Yes,15,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.22,662.1,No
CUST07007,Male,0,Yes,No,17,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),69.27,1173.02,No
CUST07008,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,83.98,498.57,No
CUST07009,Female,0,Yes,Yes,8,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.05,593.99,No
CUST07010,Male,0,Yes,Yes,0,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),85.16,80.98,No
CUST07011,Male,0,Yes,No,38,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Mailed check,81.5,2949.72,No
CUST07012,Male,0,No,No,28,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,62.28,1723.38,No
CUST07013,Male,0,No,Yes,4,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),51.9,200.37,No
CUST07014,Female,0,Yes,No,8,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,78.24,603.47,No
CUST07015,Male,0,Yes,No,10,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Mailed check,77.5,747.71,No
CUST07016,Female,0,Yes,Yes,8,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Mailed check,82.64,652.92,No
CUST07017,Female,0,No,Yes,32,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),77.87,2451.69,No
CUST07018,Female,1,Yes,No,25,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Electronic check,56.73,1350.85,No
CUST07019,Male,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.0,516.55,No
CUST07020,Female,1,Yes,No,46,Yes,No,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,72.78,3253.76,No
CUST07021,Male,0,Yes,No,18,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,84.44,1500.19,No
CUST07022,Female,0,Yes,Yes,19,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,78.24,1482.59,No
CUST07023,Female,1,Yes,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.33,474.47,No
CUST07024,Female,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.0,389.71,No
CUST07025,Female,0,No,No,40,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),80.16,3100.52,No
CUST07026,Female,0,No,No,29,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Mailed check,84.38,2400.78,No
CUST07027,Female,0,No,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,35.49,No
CUST07028,Female,0,No,No,52,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,87.53,4383.34,No
CUST07029,Female,0,No,Yes,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),29.96,637.08,No
CUST07030,Male,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,83.93,160.22,Yes
CUST07031,Male,0,Yes,No,29,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.37,1271.69,No
CUST07032,Female,0,Yes,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,20.88,163.93,No
CUST07033,Female,0,No,No,32,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),78.9,2447.03,No
CUST07034,Female,0,Yes,Yes,62,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Mailed check,69.01,4178.75,No
CUST07035,Male,0,No,Yes,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.35,100.11,No
CUST07036,Female,1,Yes,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,656.07,No
CUST07037,Male,0,No,Yes,29,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,52.8,1506.48,No
CUST07038,Male,1,Yes,Yes,22,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),95.26,2056.79,No
CUST07039,Male,0,Yes,No,9,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,90.75,802.36,No
CUST07040,Male,0,No,Yes,2,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),87.99,170.04,Yes
CUST07041,Male,0,Yes,Yes,13,No,No phone service,DSL,No,Yes,No,No,No,No,Two year,No,Electronic check,44.89,558.79,No
CUST07042,Female,0,No,No,2,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,61.19,118.65,No
CUST07043,Female,0,Yes,Yes,13,No,No phone service,DSL,No,No,Yes,Yes,No,No,Two year,No,Electronic check,57.24,710.41,No
CUST07044,Female,0,Yes,No,34,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,39.37,1282.59,No
CUST07045,Female,0,No,Yes,72,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,43.25,3044.54,No
CUST07046,Female,1,No,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),88.75,353.68,No
CUST07047,Male,0,Yes,No,4,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Credit card (automatic),64.59,248.32,No
CUST07048,Female,0,No,No,33,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),59.71,1924.78,No
CUST07049,Female,0,No,Yes,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),77.18,887.17,No
CUST07050,Male,0,No,No,49,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),81.92,3921.13,No
CUST07051,Female,0,Yes,Yes,29,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,82.85,2373.16,No
CUST07052,Male,0,Yes,Yes,26,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,54.87,1413.27,Yes
CUST07053,Female,1,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Electronic check,43.22,85.14,No
CUST07054,Male,0,No,Yes,0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,73.05,70.14,Yes
CUST07055,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,80.17,545.75,No
CUST07056,Female,0,Yes,Yes,4,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),57.92,229.56,No
CUST07057,Male,0,Yes,No,24,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),50.4,1193.6,No
CUST07058,Male,0,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.0,196.05,No
CUST07059,Male,0,Yes,No,14,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),67.53,902.64,No
CUST07060,Male,0,Yes,Yes,33,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.46,731.09,No
CUST07061,Male,0,Yes,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.96,239.62,Yes
CUST07062,Male,0,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.76,1317.62,No
CUST07063,Male,0,Yes,No,36,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,89.23,3077.64,No
CUST07064,Male,0,No,No,11,Yes,No,DSL,No,No,No,No,Yes,No,Two year,No,Electronic check,43.76,463.02,No
CUST07065,Female,0,No,No,1,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),43.67,42.8,No
CUST07066,Female,0,No,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.26,251.83,Yes
CUST07067,Male,1,Yes,No,17,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,79.82,1326.05,No
CUST07068,Female,1,Yes,No,14,No,No phone service,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),52.22,729.81,No
CUST07069,Female,0,No,No,5,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.4,102.65,Yes
CUST07070,Female,0,No,Yes,5,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,52.99,259.31,No
CUST07071,Female,0,No,No,9,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,87.62,778.44,No
CUST07072,Male,0,No,No,3,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,61.06,176.22,No
CUST07073,Female,1,No,No,21,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),71.62,1432.08,No
CUST07074,Male,0,No,Yes,19,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),70.13,1281.74,No
CUST07075,Female,1,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),69.21,1315.47,No
CUST07076,Female,1,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,24.44,118.89,No
CUST07077,Female,0,No,No,5,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,86.72,412.87,No
CUST07078,Male,0,Yes,No,30,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.69,1916.59,No
CUST07079,Female,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),18.0,411.94,No
CUST07080,Male,1,Yes,No,41,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),71.4,2827.99,No
CUST07081,Female,0,No,Yes,10,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,70.91,694.48,No
CUST07082,Male,1,Yes,Yes,15,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),66.33,986.29,No
CUST07083,Female,0,Yes,Yes,26,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,37.79,946.31,No
CUST07084,Male,0,No,Yes,72,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),87.74,6224.75,No
CUST07085,Male,1,Yes,No,72,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,83.0,5944.59,Yes
CUST07086,Female,0,Yes,No,72,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,57.73,4091.43,No
CUST07087,Male,0,Yes,No,44,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,60.64,2625.5,No
CUST07088,Female,0,No,No,20,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,53.37,1019.74,No
CUST07089,Female,0,No,No,0,Yes,No,DSL,No,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,53.55,51.3,Yes
CUST07090,Female,0,No,No,24,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),54.49,1280.7,No
CUST07091,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,84.78,406.74,No
CUST07092,Female,1,No,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,19.02,18.51,No
CUST07093,Female,1,Yes,No,23,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),92.96,2124.2,Yes
CUST07094,Female,0,No,Yes,28,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),73.6,2055.74,No
CUST07095,Female,0,No,No,21,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,65.45,1334.1,No
CUST07096,Female,0,No,No,9,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,49.7,428.31,No
CUST07097,Female,0,No,No,14,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,79.55,1108.86,Yes
CUST07098,Female,1,No,Yes,54,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,74.23,3901.7,No
CUST07099,Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.0,451.38,No
CUST07100,Male,0,Yes,No,14,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),51.68,723.29,No
CUST07101,Female,0,No,Yes,18,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),82.07,1469.84,No
CUST07102,Female,0,Yes,Yes,52,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),88.14,4453.12,No
CUST07103,Female,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.0,171.45,No
CUST07104,Female,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,78.69,154.11,Yes
CUST07105,Female,0,Yes,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),25.57,176.45,No
CUST07106,Female,0,Yes,No,10,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,73.64,699.77,Yes
CUST07107,Female,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,66.8,387.4,No
CUST07108,Female,0,Yes,Yes,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,257.77,No
CUST07109,Male,0,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),79.16,550.77,No
CUST07110,Female,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.4,36.94,No
